,Unnamed: 0,id,video id,author,author id,text,label,annotator notes
0,0,UgzJMmyfh-V9DdspcKN4AaABAg,M7jj9c4pzIA,@IbrahimKhalil-nq4ee,UCFzHoqYnhDk5plzEXlKiKSA,We all stand for Palestine. ,Pro-Palestine,
1,1,UgxSPspi64LsuKtOygR4AaABAg,M7jj9c4pzIA,@BAJI_AMVS_14790,UCE1aLbKG8Hb-P477PbS3QEA,"I am  and I stand by Palestine

May God help Palestine be free                          ",Pro-Palestine,
2,2,UgyioTBsH4SJo-5y1jh4AaABAg,M7jj9c4pzIA,@aminathdidi2463,UC0uAjK1dLRz43GiI505uzqw,Maldives too ,irrelevant,
3,3,Ugxg1Tc9rCA5eZH4Mxx4AaABAg,M7jj9c4pzIA,@humairakhanum9236,UCWqEP87w-XVWvAvbATjbbtQ,Bangladesh always support Palestine ,Pro-Palestine,
4,4,UgyKg6JY4izZm6z33h54AaABAg,M7jj9c4pzIA,@Princess_Glowibis,UCfJj6IsOfJAGBg4dSMDacDg, also Bahrain,irrelevant,
5,5,UgwChYIgtkQBRUSjkBp4AaABAg,M7jj9c4pzIA,@amrutagaikwad8400,UCsijeyXEpT66rt6Zo6cL-sw,If whole world supports Israel then also Israel willl win,Pro-Israel,
6,6,UgwtX5qqxH71KffGSpN4AaABAg,M7jj9c4pzIA,@bhuiyantushar7384,UCJdl6ArZby8mgj9DQ9K1L2w,"Only the,counrry,you should support is palestine",Pro-Palestine,
7,7,UgyGdts7PgHqgmXDVUN4AaABAg,M7jj9c4pzIA,@abdulsamadkamawi6797,UCzBxb6hvRwfog9sGzGB3-eg,I hate Taliban. but why not the real Afghanistan,irrelevant,
8,8,UgyuCcKjxYU-cKxMQZN4AaABAg,M7jj9c4pzIA,@Farhankhan-ig7yw,UCbmEmrANp5sYdczT751zb_w,"Pakistan  will be always with Palestine 

",Pro-Palestine,
9,9,UgxRaUxHn0sHQgsLGH14AaABAg,M7jj9c4pzIA,@Rmsmartcreation,UC7qxDfef5SmNyyXwdKFshiw,Pakistan is coming to help you Palestine inshallah,Pro-Palestine,
10,10,UgxvQBcB4-KGi6Zjnhh4AaABAg,M7jj9c4pzIA,@Coco_Puffxii,UCWE73CC49obHgq7aOPjGG9A,"What about Russia
FREE PALESTINE
WHO EVER SUPPORT PALESTINE
",Pro-Palestine,
11,11,UgwSarB7NeU3rqjhGJZ4AaABAg,M7jj9c4pzIA,@shahidazafeer2143,UC5-AiRgJ6zsYs1e-dvYepoQ,"who supports Palestine 
tell here",Pro-Palestine,
12,12,UgxBA5PAahTP9Ial1Gl4AaABAg,M7jj9c4pzIA,@rozinaakther5563,UCEeuqRtolF98xzUJUWPxvSA,We are proud to be bangladeshis who stand with palestine,Pro-Palestine,
13,13,UgyCGqFhR624jZ89z6x4AaABAg,M7jj9c4pzIA,@thanwantkaur1902,UCxTFsfaY5LqeoBZUNcr30ow,I'm from  Malaysia Free free palestine ,Pro-Palestine,
14,14,UgwNZ6b4wSYC_fhJoHt4AaABAg,M7jj9c4pzIA,@sumailakausar6082,UCWrvFiEpRzkphEZtDPj515A,South korea is also supporting Palestine,Pro-Palestine,
15,15,Ugyd09ZPwITOzREjurN4AaABAg,M7jj9c4pzIA,@fans_magic5_839,UCcxdKHcsIcIte2YbM9bF7XQ,"We always support Palestine, the Palestinian spirit, never give up, OK ",Pro-Palestine,
16,16,UgxkM0D7qzleF5l3ccx4AaABAg,M7jj9c4pzIA,@user-zq3vy2cw4y,UC-TzseyX6GMW5DWVFWfIZKg,We also support ,Neutral,
17,17,Ugy3C_odhcQvu_CPa-B4AaABAg,M7jj9c4pzIA,@gr68990,UCkbWLDYi6h_VIhnbeqvKO_w,THERE IS NO PALESTINE,Pro-Israel,
18,18,UgypkjScDRUeSDSIvZB4AaABAg,M7jj9c4pzIA,@mehboobeeabdullah6877,UCFxB4l2YhWyl7QlRAR6WQow,And also ,irrelevant,
19,19,UgwY35XArp-AKcvm9754AaABAg,M7jj9c4pzIA,@fozaanjamil9255,UCR5DfT_MIlnpVVqAdHmuayw,Support Palestine from Pakistan ,Pro-Palestine,
20,20,UgzMpQWc07jgWP9qxrZ4AaABAg,M7jj9c4pzIA,@kartinidewiyanti8984,UCZN2FW7MTG44rpqG9dl1tQw,Russia team you china team you,irrelevant,
21,21,UgzIzhEn1ckx-a4K2aB4AaABAg,M7jj9c4pzIA,@omjo7715,UCbljMem8JW2Lsr3lkYE2VZg,"As an Indonesian, I feel that Lebanon and Yemen should be ranked 1st and 2nd...
Sorry, I don't mean to offend any country, but I really respect their actions so far... ",Pro-Palestine,"ambiguos, but support from listed countries provided"
22,22,Ugwk9n9C-Wx60jZZ1cV4AaABAg,M7jj9c4pzIA,@user-ic1cq9gq3k,UCg-ClC7ZloQmahrrq1ABB7w,Palistine br Mt ma tera sath ho Pakistan ,Pro-Palestine,
23,23,UgwI2cv0OgUqNp4lBL94AaABAg,M7jj9c4pzIA,@humblegood07,UCqyzgwCEfCbkxFgCr-Hu7vA,"False, Morocco is one of the muslim majority countries who denied to give the economic sanction to Israel  Moroccan govt is the hypocrite just like other few muslim majority countries ",Pro-Palestine,
24,24,Ugy6hBuwfU-PY-DMuyp4AaABAg,M7jj9c4pzIA,@Localpotato14,UC8XDDNcZ2fSwWjry5-rmDVw,We need Trump back bc he will support Palestine,Pro-Palestine,
25,25,UgzWvfXvlJlpppVqg-N4AaABAg,M7jj9c4pzIA,@saimasaleem659,UCX0yUatAqcm0Wb1gGANIzBQ,Indian muslims are also supporting palestine,Pro-Palestine,
26,26,UgyVkG0P01cILorlSeJ4AaABAg,M7jj9c4pzIA,@MohamadaligamingBosso,UCYNRx0895dGTpmu4vcMbQ2w,From,irrelevant,
27,27,UgzaIkfOblAkPYJ8Hah4AaABAg.9xkKUhQ3vJL9y5Qmjcvv6M,M7jj9c4pzIA,@lamariiimanariiiRMD2016,,My country always talks about palestine,Pro-Palestine,
28,28,Ugx3jZqfrzBey1g6W294AaABAg,M7jj9c4pzIA,@a.sjabir2653,UC4b4jkrWD8MZFnJBdL4X_hw,Me also,irrelevant,
29,29,UgzZnqD-AzC5jvQDS754AaABAg,M7jj9c4pzIA,@hibausman6103,UCXCDF1Y2jjzVSQnRU8iIcMg,And proud to be a Palestinian and Pakistani ,Pro-Palestine,
30,30,UgwgTGolDPIjACrPUcR4AaABAg,_FtRud1ZGu0,@2380Shaw,UCsfB91rtFseXSwJSJeQgtXg,No offense but how would a Japanese know?,irrelevant,
